+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| id  | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |  birth_city   | birth_state | birth_country |  id   | player_id | team_id | year | salary  |  id   | player_id | team_id | year |  G  | AB  |  H  | 2B | 3B | HR | RBI | SB | id  | year |         name          |            park             |
| 50  | Juan       | Acevedo   | R    | R      | 245    | 74     | 1995-04-30 | 2003-08-05 | 1970       | 5           | 5         | Ciudad Juarez | Chihuahua   | Mexico        | 11128 | 50        | 121     | 1998 | 200000  | 76652 | 50        | 121     | 1998 | 50  | 17  | 3   | 1  | 0  | 0  | 0   | 0  | 121 | 2001 | St. Louis Cardinals   | Busch Stadium II            |
| 50  | Juan       | Acevedo   | R    | R      | 245    | 74     | 1995-04-30 | 2003-08-05 | 1970       | 5           | 5         | Ciudad Juarez | Chihuahua   | Mexico        | 12128 | 50        | 121     | 1999 | 475000  | 77973 | 50        | 121     | 1999 | 50  | 20  | 1   | 0  | 0  | 0  | 0   | 0  | 121 | 2001 | St. Louis Cardinals   | Busch Stadium II            |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 551   | 52        | 4       | 1986 | 367500  | 63256 | 52        | 4       | 1986 | 21  | 28  | 3   | 1  | 0  | 0  | 0   | 0  | 4   | 2001 | Atlanta Braves        | Turner Field                |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 1289  | 52        | 4       | 1987 | 350000  | 64273 | 52        | 4       | 1987 | 68  | 14  | 3   | 0  | 0  | 0  | 1   | 0  | 4   | 2001 | Atlanta Braves        | Turner Field                |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 1916  | 52        | 4       | 1988 | 435000  | 65321 | 52        | 4       | 1988 | 21  | 5   | 2   | 0  | 0  | 0  | 0   | 0  | 4   | 2001 | Atlanta Braves        | Turner Field                |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 2579  | 52        | 4       | 1989 | 688000  | 66357 | 52        | 4       | 1989 | 59  | 7   | 1   | 0  | 0  | 0  | 0   | 0  | 4   | 2001 | Atlanta Braves        | Turner Field                |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 5461  | 52        | 115     | 1992 | 275000  | 69632 | 52        | 115     | 1992 | 17  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 115 | 2001 | Seattle Mariners      | Safeco Field                |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 531   | 52        | 133     | 1985 | 170000  | 62258 | 52        | 133     | 1985 | 61  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 133 | 2001 | Toronto Blue Jays     | Skydome                     |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 551   | 52        | 4       | 1986 | 367500  | 63255 | 52        | 133     | 1986 | 23  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 133 | 2001 | Toronto Blue Jays     | Skydome                     |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 2579  | 52        | 4       | 1989 | 688000  | 66358 | 52        | 133     | 1989 | 14  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 133 | 2001 | Toronto Blue Jays     | Skydome                     |
